system:index,B10_count,B10_mean,B10_variance,B11_count,B11_mean,B11_variance,B12_count,B12_mean,B12_variance,B1_count,B1_mean,B1_variance,B2_count,B2_mean,B2_variance,B3_count,B3_mean,B3_variance,B4_count,B4_mean,B4_variance,B5_count,B5_mean,B5_variance,B6_count,B6_mean,B6_variance,B7_count,B7_mean,B7_variance,B8A_count,B8A_mean,B8A_variance,B8_count,B8_mean,B8_variance,B9_count,B9_mean,B9_variance,Block,DOY_count,DOY_mean,DOY_variance,GCVI_count,GCVI_mean,GCVI_variance,GPSID,ID,NDVI_count,NDVI_mean,NDVI_variance,QA10_count,QA10_mean,QA10_variance,QA20_count,QA20_mean,QA20_variance,QA60_count,QA60_mean,QA60_variance,RNDMTRACKID,SUBID,Schedule_id,TOTID,Village,a2,a2_org,a3,a4,a5,a5_1,a5_2,a6,a6_1,a6_2,a7,a7_1,a7_1_1_r1,a7_1_1_r2,a7_1_1_r3,a7_1_1_r4,a7_2,a7_2_1_r1,a7_2_1_r2,a7_2_1_r3,a7_2_1_r4,a8,a9,a9_str,area,canopy,chemical,coordsetsn,description,district,ex_description,ex_name,gps1,gps2,gpsfileid,i1_district,i4_cocoid,intercroppingCrop,intercroppingPercent,isFertilizedType,isIntercropping,isWeeded,lodging,mstimestamp,name,noTimesIrrigated,noTimesWeeded,random,seedSource,seedVariety,swi,weedCoverPercent,yield,yieldLevel100Break,yieldLevelColors,.geo
20170108T045151_20170108T045341_T44RRN_582,1,11,,1,1641,,1,1037,,1,2142,,1,1839,,1,1584,,1,1369,,1,1465,,1,2047,,1,2299,,1,2444,,1,2007,,1,497,,2,1,8,,1,267,,37,26_0,1,188,,1,0,,1,0,,1,0,,634346,9305,1.01E+08,TRACK634346_SUB9305,5,1.41E+07,1412,2,7,2,0,0,1,1,1,3,1,2.5,0,0,0,1,45,0,0,0,3,2,NO,121.7734724,,2.5,1,,Gaya,,,2.02E+07,143629,6.36E+17,1,1282092,,,YES Both,NO,YES,3,1.48385E+12,,3,1,0.930544654,purchased seeds,Sonalika,1,<25%,574.48,6,C43A0E,
20170108T045151_20170108T045341_T44RRN_596,2,10,0,2,1910,0,2,1434,0,2,2037,0,2,1719,128,2,1516,200,2,1327.5,180.5,2,1438,0,2,1846,0,2,2021,0,2,2104,0,2,1852.5,3120.5,2,462,0,1,2,8,0,2,221,648,85,61_0,2,164.5,84.5,2,0,0,2,0,0,2,0,0,120862,1817,1.01E+08,TRACK120862_SUB1817,11,2.51E+07,2511,2,8,1,1,1,1,1,1,1,2,5,2.5,0,0,0,0,0,0,0,2,2,NO,113.5831672,,7.5,1,,Gaya,,,2.02E+07,140449,6.36E+17,1,813175,mustard,<25%,YES Chemical Fertilizer,YES,YES,3,1.48385E+12,,2,1,0.181797909,purchased seeds,Sonalika,1,<25%,301.53,4,89751C,
20170108T045151_20170108T045341_T44RRN_597,1,12,,1,1921,,1,1449,,1,2027,,1,1717,,1,1502,,1,1338,,1,1383,,1,1875,,1,2059,,1,2236,,1,1835,,1,486,,1,1,8,,1,221,,89,65_0,1,156,,1,0,,1,0,,1,0,,969559,878,1.01E+08,TRACK969559_SUB878,11,2.51E+07,2512,2,8,2,0,0,1,1,1,1,2,3,1.5,0,0,0,0,0,0,0,2,2,NO,108.0339654,,4.5,1,,Gaya,,,2.02E+07,144100,6.36E+17,1,813022,,,YES Chemical Fertilizer,NO,YES,3,1.48385E+12,,2,1,0.087843711,purchased seeds,Sonalika,1,<25%,321.97,4,89751C,
20170108T045151_20170108T045341_T44RRN_598,1,10,,1,1850,,1,1367,,1,2026,,1,1696,,1,1463,,1,1248,,1,1392,,1,1790,,1,1961,,1,2052,,1,1840,,1,477,,1,1,8,,1,257,,84,64_0,1,191,,1,0,,1,0,,1,0,,761130,9291,1.01E+08,TRACK761130_SUB9291,11,1.71E+07,1712,2,8,2,0,0,1,1,1,1,2,7,3.5,0,0,0,0,0,0,0,2,2,NO,99.30559177,,10.5,1,,Gaya,,,2.02E+07,142746,6.36E+17,1,813253,,,YES Chemical Fertilizer,NO,YES,3,1.48385E+12,,2,1,0.929158194,purchased seeds,Sonalika,1,<25%,338.93,4,89751C,
20170108T045151_20170108T045341_T44RRN_599,1,11,,1,1506,,1,918,,1,2021,,1,1693,,1,1463,,1,1211,,1,1347,,1,1951,,1,2149,,1,2260,,1,1978,,1,475,,1,1,8,,1,352,,87,63_0,1,240,,1,0,,1,0,,1,0,,700186,4903,1.01E+08,TRACK700186_SUB4903,11,2.91E+07,2911,2,8,2,0,0,1,1,1,1,2,3,1.5,0,0,0,0,0,0,0,2,2,NO,202.7009633,,4.5,1,,Gaya,,,2.02E+07,141725,6.36E+17,1,813025,,,YES Chemical Fertilizer,NO,YES,3,1.48385E+12,,2,1,0.490302733,purchased seeds,Sonalika,1,<25%,300.47,4,89751C,
20170108T045151_20170108T045341_T44RRN_600,2,11.5,0.5,2,1487.5,684.5,2,895,1058,2,2023,8,2,1702.5,60.5,2,1453,18,2,1227.5,12.5,2,1345.5,4.5,2,1959,128,2,2174,1250,2,2267.5,112.5,2,1878,20000,2,470.5,40.5,1,2,8,0,2,292,8712,90,62_0,2,208.5,1200.5,2,0,0,2,0,0,2,0,0,506107,7748,1.01E+08,TRACK506107_SUB7748,11,2.01E+07,2012,2,8,1,1,1,1,1,1,1,2,4,2,0,0,0,0,0,0,0,2,2,NO,132.3197275,PARTIAL-50%,6,1,,Gaya,,,2.02E+07,141417,6.36E+17,1,813020,mustard,<25%,YES Chemical Fertilizer,YES,YES,3,1.48385E+12,,2,1,0.774891269,purchased seeds,Sonalika,1,<25%,494.96,5,A75715,
20170115T044121_20170115T044124_T45RVH_40,2,10,0,2,2094,0,2,1405,0,2,1779,0,2,1463,1152,2,1334.5,5724.5,2,1112,17298,2,1332,0,2,2146,0,2,2390,0,2,2475,0,2,2264.5,40.5,2,829,0,30,2,15,0,2,699.5,10224.5,P 81,307_0,2,342,2888,2,0,0,2,0,0,2,0,0,356142,2974,1.08E+08,TRACK356142_SUB2974,97,2.51E+07,2511,2,2,2,0,0,1,3,3,3,2,3,2,0,0,1,20,0,0,0,3,2,NO,191.8149156,,5,2,,Purnia,,,2.02E+07,154624,6.36E+17,8,703159,,,YES Both,NO,YES,3,1.48446E+12,,3,3,0.297432034,purchased seeds,Lakmanya,0,>50%,280.08,3,6C9223,
20170115T044121_20170115T044124_T45RVH_192,1,10,,1,1948,,1,1138,,1,1727,,1,1425,,1,1243,,1,933,,1,1284,,1,2285,,1,2535,,1,2702,,1,2432,,1,836,,30,1,15,,1,956,,P 80,310_1,1,445,,1,0,,1,0,,1,0,,530399,8618,1.08E+08,TRACK530399_SUB8618,97,1.21E+07,1212,2,2,2,0,0,1,1,3,3,2,3,2,0,0,1,2,0,0,0,2,2,NO,155.4607601,,5,3,,Purnia,,,2.02E+07,163133,6.36E+17,8,703208,,,YES Both,NO,YES,3,1.48446E+12,,2,1,0.861859032,purchased seeds,Lakmanya,1,>50%,307.9,4,89751C,
20170115T044121_20170115T044124_T45RVH_42,7,11,0,7,1864.428571,7953.619048,7,1023,5891.333333,7,1729,0,7,1408.285714,180.5714286,7,1233,838.3333333,7,913.7142857,1862.904762,7,1228.857143,4289.809524,7,2253.428571,23689.95238,7,2600.285714,44493.2381,7,2796.714286,42882.90476,7,2612.571429,26858.28571,7,890,0,30,7,15,0,7,1118.857143,16899.14286,P 83,308_0,7,480.4285714,960.6190476,7,0,0,7,0,0,7,0,0,484330,2235,1.08E+08,TRACK484330_SUB2235,97,2.61E+07,2611,2,2,2,0,0,1,2,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,609.7702893,PARTIAL,6,1,,Purnia,,,2.02E+07,160107,6.36E+17,8,703162,,,YES Both,NO,YES,3,1.48446E+12,,1,2,0.223515714,purchased seeds,Lakmanya,0,>50%,287.35,3,6C9223,
20170115T044121_20170115T044124_T45RVH_44,4,9.5,0.333333333,4,1780.5,4512.333333,4,993.75,6014.916667,4,1759,108,4,1413.5,116.3333333,4,1226.75,506.9166667,4,901,456.6666667,4,1255.25,318.9166667,4,2463.75,1675.583333,4,2850.25,1322.25,4,2966.25,2395.583333,4,2780.75,11456.91667,4,886.5,243,30,4,15,0,4,1266.5,7439,P 82,309_1,4,510,110.6666667,4,0,0,4,0,0,4,0,0,672336,3726,1.08E+08,TRACK672336_SUB3726,97,1.11E+07,1112,2,2,2,0,0,1,2,3,3,2,5,2,0,0,1,15,0,0,0,1,2,NO,371.3678007,,7,2,,Purnia,,,2.02E+07,161109,6.36E+17,8,703164,,,YES Both,NO,YES,3,1.48446E+12,,1,2,0.372629225,purchased seeds,Lakmanya,0,>50%,282.71,3,6C9223,
20170115T044121_20170115T044124_T45RVH_45,2,10,0,2,2089,0,2,1209,0,2,1727,0,2,1429,968,2,1256.5,2664.5,2,995.5,2112.5,2,1232,0,2,2201,0,2,2596,0,2,2869,0,2,2637,6962,2,836,0,30,2,15,0,2,1099,392,P 78,312_0,2,451.5,40.5,2,0,0,2,0,0,2,0,0,2755,1102,1.08E+08,TRACK2755_SUB1102,97,2.51E+07,2511,2,19,2,0,0,1,1,3,3,2,3,2,0,0,1,10,0,0,0,2,2,NO,158.4879358,,5,1,,Purnia,,,2.02E+07,164010,6.36E+17,8,702528,,,YES Both,NO,YES,0,1.48446E+12,,2,1,0.110233908,purchased seeds,Lakmanya,0,>50%,,,,
20170115T044121_20170115T044124_T45RVH_195,2,12,0,2,1759.5,4512.5,2,1067,968,2,1792,0,2,1420.5,84.5,2,1277.5,220.5,2,914,32,2,1226,578,2,2451,2178,2,2763.5,4324.5,2,2934,12482,2,2574,2592,2,878,0,30,2,15,0,2,1014.5,264.5,P 74,306_1,2,475.5,24.5,2,0,0,2,0,0,2,0,0,987084,3746,1.08E+08,TRACK987084_SUB3746,96,2.41E+07,2411,2,2,2,0,0,1,1,3,3,2,2,2,0,0,1,10,0,0,0,2,2,NO,181.5873672,,4,2,,Purnia,,,2.02E+07,122455,6.36E+17,8,907401,,,YES Both,NO,YES,3,1.48446E+12,,2,1,0.374693025,purchased seeds,Lakmanya,1,>50%,381.44,4,89751C,
20170115T044121_20170115T044124_T45RVH_46,1,10,,1,1858,,1,1164,,1,1777,,1,1454,,1,1300,,1,1041,,1,1221,,1,2069,,1,2344,,1,2383,,1,2091,,1,792,,30,1,15,,1,608,,P 77,305_0,1,335,,1,0,,1,0,,1,0,,776971,3575,1.08E+08,TRACK776971_SUB3575,96,1.21E+07,1211,2,19,2,0,0,1,2,3,3,2,4,3,0,0,1,40,0,0,0,2,2,NO,100.1999788,,7,2,,Purnia,,,2.02E+07,114521,6.36E+17,8,907445,,,YES Both,NO,YES,3,1.48446E+12,,2,2,0.357584394,purchased seeds,Lakmanya,1,>50%,443.43,5,A75715,
20170115T044121_20170115T044124_T45RVH_197,2,10,0,2,1875.5,612.5,2,1181.5,612.5,2,1777,0,2,1423,18,2,1274,98,2,977.5,180.5,2,1246.5,1300.5,2,2054.5,420.5,2,2320.5,1104.5,2,2366,578,2,2167.5,684.5,2,792,0,30,2,15,0,2,701,1152,P 75,304_1,2,378,128,2,0,0,2,0,0,2,0,0,526799,1995,1.08E+08,TRACK526799_SUB1995,96,2.01E+07,2011,1,2,2,0,0,1,1,3,3,2,4,2,0,0,1,10,0,0,0,1,2,NO,179.2594755,,6,2,,Purnia,,,2.02E+07,112155,6.36E+17,8,870731,,,YES Both,NO,YES,3,1.48446E+12,,1,1,0.19958392,used own seed,Lakmanya,1,>50%,403.46,5,A75715,
20170118T045121_20170118T045425_T44RRN_2,16,10.625,0.25,16,1411.875,1315.583333,16,712.625,1210.383333,16,2127.5,4,16,1803.4375,208.9291667,16,1553.5,204.5333333,16,1235.6875,378.0958333,16,1393.375,100.25,16,2338.5,2911.2,16,2657.625,6303.716667,16,2789.875,7531.05,16,2530.125,13435.58333,16,646.75,49,14,16,18,0,16,628.5,6636.8,Mf 21,125_0,16,342.75,502.8666667,16,0,0,16,0,0,16,0,0,715867,7875,1.05E+08,TRACK715867_SUB7875,46,1.61E+07,1611,3,20,1,3,1,1,2,3,3,3,5,3,3,0,1,10,0,0,0,2,2,NO,1497.896928,,11,1,,Muzaffarpur,,,2.02E+07,103035,6.36E+17,5,336799,Tisi,<25%,YES Both,YES,YES,3,1.48472E+12,,2,2,0.787540551,Through Jeevika,Lal bhadur,1,>50%,559,6,C43A0E,
20170118T045121_20170118T045425_T44RRN_437,40,10.1,1.476923077,40,1514.225,3365.819872,40,693.175,2059.635256,40,1978.45,13.43333333,40,1639.675,126.3788462,40,1418.375,102.650641,40,1067.35,92.13076923,40,1277,354.5641026,40,2543.425,8418.148077,40,3085.875,27536.88141,40,3232.5,30938.35897,40,2989.1,21581.47692,40,669.8,423.6512821,21,40,18,0,40,1106.825,10213.99423,N 23,232_1,40,472.575,450.1480769,40,0,0,40,0,0,40,0,0,914919,1752,1.06E+08,TRACK914919_SUB1752,68,2.91E+07,2911,1,5,2,0,0,2,0,0,1,2,3,2,0,0,0,0,0,0,0,2,2,NO,3813.973311,,5,2,,Nalanda,,,2.02E+07,172041,6.36E+17,6,637639,,,YES Chemical Fertilizer,NO,NO,3,1.48472E+12,,2,0,0.175246615,used own seed,HD3059,0,,616.11,7,E11D07,
20170118T045121_20170118T045425_T44RRN_515,37,10.18918919,1.713213213,37,1581.216216,5454.618619,37,825.2702703,6982.647147,37,1988.594595,59.8033033,37,1635.621622,210.1306306,37,1416.648649,90.45645646,37,1094.567568,399.03003,37,1332.108108,192.5990991,37,2464.513514,6677.367868,37,2886.72973,11524.09159,37,3063.918919,18242.46547,37,2741.054054,15485.497,37,703.5135135,660.3123123,2,37,18,0,37,934.5405405,7774.588589,17,4_1,37,428.0540541,642.7192192,37,0,0,37,0,0,37,0,0,875915,8477,1.01E+08,TRACK875915_SUB8477,3,1.61E+07,1611,1,8,1,1,1,1,2,2,1,3,0.5,2.5,1.5,0,0,0,0,0,0,2,2,NO,3399.129834,PARTIAL-10%,4.5,2,,Gaya,,,2.02E+07,112833,6.36E+17,1,1790978,mustard,<25%,YES Chemical Fertilizer,YES,YES,0,1.48472E+12,,2,2,0.84779701,used own seed,Sonalika,0,~50%,,,,
20170118T045121_20170118T045425_T44RRN_252,12,9,0,12,1530.416667,6248.992424,12,845.25,9079.295455,12,2044.416667,30.26515151,12,1695.583333,86.99242424,12,1454,67.27272727,12,1137.166667,1563.969697,12,1358.583333,254.8106061,12,2391,2879.272727,12,2816.833333,6076.515152,12,2952.166667,4571.060606,12,2691.25,13186.56818,12,663.5,1668.272727,14,12,18,0,12,850.3333333,5891.151515,Mf 34,157_1,12,404.9166667,1004.992424,12,0,0,12,0,0,12,0,0,867925,3477,1.05E+08,TRACK867925_SUB3477,48,2.21E+07,2211,3,10,2,0,0,1,1,3,3,3,3,2,2,0,1,10,0,0,0,2,2,NO,1032.564848,,7,2,,Muzaffarpur,,,2.02E+07,154520,6.36E+17,5,342179,,,YES Both,NO,YES,3,1.48472E+12,,2,1,0.347720326,Through Jeevika,Lal bhadur,0,>50%,530.7,6,C43A0E,
20170118T045121_20170118T045425_T44RRN_3,18,12.33333333,0.588235294,18,1497.666667,4084.235294,18,842.5555556,7192.261438,18,2030.833333,3.676470588,18,1688.611111,251.7810458,18,1452.5,328.0294118,18,1146.944444,1828.643791,18,1351.444444,503.4379085,18,2367.111111,3884.457516,18,2745.055556,12853.23203,18,2887.611111,12252.13399,18,2580.611111,12282.13399,18,681,190.5882353,14,18,18,0,18,776.8333333,8183.558824,Mf 35,155_0,18,383.4444444,999.5555556,18,0,0,18,0,0,18,0,0,182652,860,1.05E+08,TRACK182652_SUB860,48,1.81E+07,1811,3,20,2,0,0,1,1,3,3,2,3,2,0,0,1,15,0,0,0,2,2,NO,1722.24377,,5,1,,Muzaffarpur,,,2.02E+07,141744,6.36E+17,5,1968916,,,YES Both,NO,YES,2,1.48472E+12,,2,1,0.086059827,Through Jeevika,Lal bhadur,0,>50%,380.62,4,89751C,
20170118T045121_20170118T045425_T44RRN_4,11,9,0,11,1668.363636,4973.854545,11,984.1818182,5926.963636,11,2052,0,11,1692.181818,158.7636364,11,1443.181818,247.3636364,11,1161.818182,644.9636364,11,1388.363636,253.4545455,11,2309.545455,3558.872727,11,2642.545455,12509.07273,11,2761.727273,9689.418182,11,2490.818182,15585.56364,11,648,0,16,11,18,0,11,725.2727273,6407.418182,Mf 69,176_0,11,362.5454545,1000.272727,11,0,0,11,0,0,11,0,0,175509,4726,1.05E+08,TRACK175509_SUB4726,52,2.41E+07,2411,2,2,1,1,2,2,0,0,3,3,2,1,1,0,1,15,0,0,0,2,2,NO,1054.019581,,4,1,,Muzaffarpur,,,2.02E+07,123433,6.36E+17,5,625560,mustard,~50%,YES Both,YES,NO,2,1.48472E+12,,2,0,0.472673712,purchased seeds,Lal bhadur,0,,199.52,2,4FAF2A,
20170118T045121_20170118T045425_T44RRN_5,9,11.88888889,0.111111111,9,1397,3570,9,730.8888889,2822.361111,9,2005,0,9,1665.444444,538.2777778,9,1394.222222,481.9444444,9,1095.444444,1553.027778,9,1304,694.5,9,2268.111111,6057.611111,9,2634.555556,9470.777778,9,2830.222222,13766.19444,9,2501.444444,14131.52778,9,643.4444444,277.7777778,16,9,18,0,9,793.8888889,7752.861111,Mf 75,169_0,9,390,729.25,9,0,0,9,0,0,9,0,0,484273,4742,1.05E+08,TRACK484273_SUB4742,52,2.51E+07,2511,1,10,2,0,0,1,1,3,3,3,3,2,2,0,1,25,0,0,0,2,2,NO,854.6808527,,7,1,,Muzaffarpur,,,2.02E+07,115431,6.36E+17,5,625573,,,YES Both,NO,YES,2,1.48472E+12,,2,1,0.474242581,used own seed,Lal bhadur,0,>50%,339.46,4,89751C,
20170118T045121_20170118T045425_T44RRN_6,8,12.25,0.5,8,1517.125,4591.267857,8,835.625,5966.839286,8,2026.75,1.071428571,8,1662.625,49.125,8,1402.25,43.35714286,8,1103.375,105.125,8,1295.75,629.3571429,8,2087.125,40676.69643,8,2401.75,83327.35714,8,2524.625,94516.55357,8,2375.625,88847.98214,8,628.5,1022,15,8,18,0,8,693.125,43500.69643,Mf 59,186_0,8,361,3217.142857,8,0,0,8,0,0,8,0,0,246735,8743,1.05E+08,TRACK246735_SUB8743,51,2.11E+07,2111,2,2,2,0,0,1,1,3,3,3,4,2,1,0,1,10,0,0,0,2,2,NO,773.0659201,,7,2,,Muzaffarpur,,,2.02E+07,161800,6.36E+17,5,902751,,,YES Both,NO,YES,2,1.48472E+12,,2,1,0.87436549,purchased seeds,Lal bhadur,0,>50%,255.2,3,6C9223,
20170118T045121_20170118T045425_T44RRN_266,8,9,0,8,1557.375,16733.125,8,939.75,18943.07143,8,2029,0,8,1684.875,18.69642857,8,1434.125,110.125,8,1158.375,591.4107143,8,1379.25,477.9285714,8,2140.125,15283.55357,8,2404.25,26677.35714,8,2492,22526,8,2261.5,22102,8,619,0,15,8,18,0,8,576.125,9179.553571,Mf 60,187_1,8,321.125,836.4107143,8,0,0,8,0,0,8,0,0,200998,702,1.05E+08,TRACK200998_SUB702,51,2.61E+07,2611,2,23,1,1,1,1,1,3,3,3,4,2,2,0,1,10,0,0,0,2,2,NO,729.410022,,8,2,,Muzaffarpur,,,2.02E+07,165339,6.36E+17,5,902762,mustard,<25%,YES Both,YES,YES,3,1.48472E+12,,2,1,0.070212842,purchased seeds,Lal bhadur,0,>50%,344.77,4,89751C,
20170118T045121_20170118T045425_T44RRN_8,21,9.857142857,1.028571429,21,1410.857143,6153.628571,21,745.3809524,4369.647619,21,2024.142857,6.428571428,21,1679.952381,92.94761905,21,1411.714286,421.5142857,21,1105.571429,627.0571429,21,1302.380952,1313.947619,21,2174.428571,4032.957143,21,2468.380952,5009.647619,21,2574.714286,9904.214286,21,2315.809524,12849.7619,21,623,315,15,21,18,0,21,640.047619,6182.547619,Mf 63,189_0,21,352.6190476,462.447619,21,0,0,21,0,0,21,0,0,304501,2475,1.05E+08,TRACK304501_SUB2475,51,2.11E+07,2111,2,22,1,1,1,1,1,3,3,3,4,2,1,0,1,20,0,0,0,2,2,NO,1934.155145,,7,2,,Muzaffarpur,,,2.02E+07,170835,6.36E+17,5,902722,mustard,<25%,YES Both,YES,YES,3,1.48472E+12,,2,1,0.247579347,purchased seeds,Lal bhadur,0,>50%,271.02,3,6C9223,
20170118T045121_20170118T045425_T44RRN_10,4,11,1.333333333,4,1409.5,3,4,665,33.33333333,4,2011.5,3,4,1637.5,89.66666667,4,1382.25,324.9166667,4,1053.75,158.9166667,4,1275,12,4,2497,533.3333333,4,3042.5,3536.333333,4,3250,645.3333333,4,2824.25,2684.916667,4,699,85.33333333,15,4,18,0,4,1043.25,3201.583333,Mf 50,164_0,4,456,135.3333333,4,0,0,4,0,0,4,0,0,400730,7639,1.05E+08,TRACK400730_SUB7639,50,2.01E+07,2011,3,19,2,0,0,1,1,3,3,3,2,2,2,0,1,10,0,0,0,2,2,NO,360.1590952,,6,1,,Muzaffarpur,,,2.02E+07,144055,6.36E+17,5,1980422,,,YES Both,NO,YES,3,1.48472E+12,,2,1,0.763907913,Through Jeevika,Lal bhadur,0,>50%,462.66,5,A75715,
20170118T045121_20170118T045425_T44RRN_11,17,9.235294118,0.191176471,17,1416.411765,2701.257353,17,752.0588235,1225.308824,17,2123.647059,110.1176471,17,1770.882353,156.7352941,17,1519.529412,265.5147059,17,1217.647059,388.4926471,17,1369,332.875,17,2307.823529,912.0294118,17,2714.058824,2696.808824,17,2871.470588,6085.264706,17,2616.176471,12484.02941,17,676.7058824,183.7205882,14,17,18,0,17,721.5294118,5737.389706,Mf 27,148_0,17,363.7058824,438.4705882,17,0,0,17,0,0,17,0,0,165772,8967,1.05E+08,TRACK165772_SUB8967,47,2.51E+07,2511,3,19,2,0,0,1,1,3,3,3,3,2,1,0,1,10,0,0,0,3,2,NO,1568.804975,,6,2,,Muzaffarpur,,,2.02E+07,110902,6.36E+17,5,337050,,,YES Both,NO,YES,3,1.48472E+12,,3,1,0.896784459,Through Jeevika,Lal bhadur,1,>50%,402.92,5,A75715,
20170118T045121_20170118T045425_T44RRN_13,18,11.16666667,0.147058824,18,1416.888889,13927.04575,18,735.1666667,10347.67647,18,2113.666667,115.2941176,18,1768,125.2941176,18,1516.722222,717.5065359,18,1215.166667,971.9117647,18,1365.166667,2566.970588,18,2266.722222,14945.85948,18,2652.277778,24481.74183,18,2810.944444,35692.52614,18,2549.5,18725.55882,18,647.6666667,235.2941176,14,18,18,0,18,680.0555556,5922.643791,Mf 25,150_0,18,353.3333333,461.2941176,18,0,0,18,0,0,18,0,0,817145,19,1.05E+08,TRACK817145_SUB19,47,2.51E+07,2511,3,20,2,0,0,1,1,3,3,2,3,2,0,0,1,12,0,0,0,3,2,NO,1703.136816,,5,1,,Muzaffarpur,,,2.02E+07,113505,6.36E+17,5,337082,,,YES Both,NO,YES,3,1.48472E+12,,3,1,0.001957615,Through Jeevika,Lal bhadur,1,>50%,433.75,5,A75715,
20170118T045121_20170118T045425_T44RRN_14,9,9.111111111,0.111111111,9,1414.666667,2166.25,9,695.7777778,5942.194444,9,2069.555556,110.7777778,9,1735.444444,269.5277778,9,1490.666667,195.5,9,1157.888889,192.6111111,9,1328.444444,126.0277778,9,2396.222222,4458.194444,9,2799.888889,16194.86111,9,2927,11822.25,9,2610.777778,13688.69444,9,659.2222222,1797.444444,14,9,18,0,9,751.4444444,7066.777778,Mf 13,129_0,9,384.4444444,558.0277778,9,0,0,9,0,0,9,0,0,8999,3557,1.05E+08,TRACK8999_SUB3557,46,2.01E+07,2012,3,10,1,1,1,1,1,3,3,2,4,3,0,0,1,10,0,0,0,2,2,NO,750.6333273,,7,1,,Muzaffarpur,,,2.02E+07,113212,6.36E+17,5,336837,mustard,<25%,YES Both,YES,YES,3,1.48472E+12,,2,1,0.355764787,Through Jeevika,Lal bhadur,1,>50%,390.72,4,89751C,
20170118T045121_20170118T045425_T44RRN_281,18,9,0,18,1283.166667,1550.382353,18,677.9444444,2408.526144,18,2067,0,18,1744.944444,164.2908497,18,1482.277778,187.2712418,18,1172.944444,811.5849673,18,1302.944444,293.3496732,18,2182.166667,7300.5,18,2533.666667,23851.41176,18,2621.166667,16040.14706,18,2325.333333,53263.29412,18,654,0,14,18,18,0,18,569.2222222,27529.00654,Mf 14,126_1,18,325.8888889,3001.51634,18,0,0,18,0,0,18,0,0,770853,6209,1.05E+08,TRACK770853_SUB6209,46,2.91E+07,2912,1,2,2,0,0,1,1,3,3,3,5,3,3,0,1,20,0,0,0,2,2,NO,1635.057201,,11,2,,Muzaffarpur,,,2.02E+07,104210,6.36E+17,5,336772,,,YES Both,NO,YES,3,1.48472E+12,,2,1,0.620982679,used own seed,Lal bhadur,1,>50%,581.46,6,C43A0E,
20170118T045121_20170118T045425_T44RRN_15,7,9.285714286,0.571428571,7,1510.857143,24457.80952,7,791,26502,7,2119.428571,14.28571429,7,1801,264.6666667,7,1555.285714,309.2380952,7,1252.428571,1281.285714,7,1414.285714,1187.904762,7,2399.428571,6341.619048,7,2812.571429,15110.95238,7,2956.571429,18905.95238,7,2659.857143,13082.47619,7,678.2857143,803.5714286,14,7,18,0,7,710.4285714,7993.952381,Mf 2,139_0,7,358.8571429,974.1428571,7,0,0,7,0,0,7,0,0,889327,9419,1.05E+08,TRACK889327_SUB9419,46,1.51E+07,1512,3,19,2,0,0,1,1,3,3,3,4,2,1,0,1,12,0,0,0,2,2,NO,584.8557581,,7,2,,Muzaffarpur,,,2.02E+07,133800,6.36E+17,5,216200,,,YES Both,NO,YES,3,1.48472E+12,,2,1,0.94191685,Through Jeevika,Lal bhadur,1,>50%,460.49,5,A75715,
20170118T045121_20170118T045425_T44RRN_17,6,10,2.4,6,1347.5,45.9,6,642,951.6,6,2128.666667,4.266666666,6,1809.833333,163.3666667,6,1543.666667,70.26666667,6,1222.166667,20.56666667,6,1385.333333,135.0666667,6,2454.166667,792.9666667,6,2915.833333,2072.166667,6,3094.333333,6120.666667,6,2793.666667,680.6666667,6,663,866.4,14,6,18,0,6,809.5,525.5,Mf 3,144_0,6,390.8333333,26.16666667,6,0,0,6,0,0,6,0,0,884930,5354,1.05E+08,TRACK884930_SUB5354,46,2.51E+07,2511,3,20,2,0,0,1,1,3,3,3,3,2,1,0,1,10,0,0,0,2,2,NO,517.2167073,,6,1,,Muzaffarpur,,,2.02E+07,140856,6.36E+17,5,216216,,,YES Both,NO,YES,3,1.48472E+12,,2,1,0.535404266,Through Jeevika,Lal bhadur,1,>50%,365.99,4,89751C,
20170118T045121_20170118T045425_T44RRN_288,8,9,0,8,1409,1546.285714,8,731.25,3344.785714,8,2105,0,8,1781.125,295.8392857,8,1537,224.8571429,8,1216,654.8571429,8,1389.5,100.8571429,8,2370,1158.285714,8,2744.75,3005.357143,8,2872,2345.142857,8,2589.5,7658.285714,8,663,0,14,8,18,0,8,684.75,5007.642857,Mf 7,145_1,8,360,556.8571429,8,0,0,8,0,0,8,0,0,736235,304,1.05E+08,TRACK736235_SUB304,46,2.01E+07,2011,3,20,1,1,1,1,1,3,3,3,3,2,1,0,1,15,0,0,0,3,2,NO,705.4565245,,6,2,,Muzaffarpur,,,2.02E+07,142537,6.36E+17,5,216266,mustard,<25%,YES Both,YES,YES,3,1.48472E+12,,3,1,0.030462483,Through Jeevika,Lal bhadur,1,>50%,444.99,5,A75715,
